catholic, orthodox
23/4/1916, 23/4/1916
8/4/1917, 15/4/1917
31/3/1918, 5/5/1918
20/4/1919, 20/4/1919
4/4/1920, 11/4/1920
27/3/1921, 1/5/1921
16/4/1922, 16/4/1922
1/4/1923, 8/4/1923
20/4/1924, 27/4/1924
12/4/1925, 19/4/1925
4/4/1926, 2/5/1926
17/4/1927, 24/4/1927
8/4/1928, 15/4/1928
31/3/1929, 5/5/1929
20/4/1930, 20/4/1930
5/4/1931, 12/4/1931
27/3/1932, 1/5/1932
16/4/1933, 16/4/1933
1/4/1934, 8/4/1934
21/4/1935, 28/4/1935
12/4/1936, 12/4/1936
28/3/1937, 2/5/1937
17/4/1938, 24/4/1938
9/4/1939, 9/4/1939
24/3/1940, 28/4/1940
13/4/1941, 20/4/1941
5/4/1942, 5/4/1942
25/4/1943, 25/4/1943
9/4/1944, 16/4/1944
1/4/1945, 6/5/1945
21/4/1946, 21/4/1946
6/4/1947, 13/4/1947
28/3/1948, 2/5/1948
17/4/1949, 24/4/1949
9/4/1950, 9/4/1950
25/3/1951, 29/4/1951
13/4/1952, 20/4/1952
5/4/1953, 5/4/1953
18/4/1954, 25/4/1954
10/4/1955, 17/4/1955
1/4/1956, 6/5/1956
21/4/1957, 21/4/1957
6/4/1958, 13/4/1958
29/3/1959, 3/5/1959
17/4/1960, 17/4/1960
2/4/1961, 9/4/1961
22/4/1962, 29/4/1962
14/4/1963, 14/4/1963
29/3/1964, 3/5/1964
18/4/1965, 25/4/1965
10/4/1966, 10/4/1966
26/3/1967, 30/4/1967
14/4/1968, 21/4/1968
6/4/1969, 13/4/1969
29/3/1970, 26/4/1970
11/4/1971, 18/4/1971
2/4/1972, 9/4/1972
22/4/1973, 29/4/1973
14/4/1974, 14/4/1974
30/3/1975, 4/5/1975
18/4/1976, 25/4/1976
10/4/1977, 10/4/1977
26/3/1978, 30/4/1978
15/4/1979, 22/4/1979
6/4/1980, 6/4/1980
19/4/1981, 26/4/1981
11/4/1982, 18/4/1982
3/4/1983, 8/5/1983
22/4/1984, 22/4/1984
7/4/1985, 14/4/1985
30/3/1986, 4/5/1986
19/4/1987, 19/4/1987
3/4/1988, 10/4/1988
26/3/1989, 30/4/1989
15/4/1990, 15/4/1990
31/3/1991, 7/4/1991
19/4/1992, 26/4/1992
11/4/1993, 18/4/1993
3/4/1994, 1/5/1994
16/4/1995, 23/4/1995
7/4/1996, 14/4/1996
30/3/1997, 27/4/1997
12/4/1998, 19/4/1998
4/4/1999, 11/4/1999
23/4/2000, 30/4/2000
15/4/2001, 15/4/2001
31/3/2002, 5/5/2002
20/4/2003, 27/4/2003
11/4/2004, 11/4/2004
27/3/2005, 1/5/2005
16/4/2006, 23/4/2006
8/4/2007, 8/4/2007
23/3/2008, 27/4/2008
12/4/2009, 19/4/2009
4/4/2010, 4/4/2010
24/4/2011, 24/4/2011
8/4/2012, 15/4/2012
31/3/2013, 5/5/2013
20/4/2014, 20/4/2014
5/4/2015, 12/4/2015
27/3/2016, 1/5/2016
16/4/2017, 16/4/2017
1/4/2018, 8/4/2018
21/4/2019, 28/4/2019
12/4/2020, 19/4/2020
4/4/2021, 2/5/2021
17/4/2022, 24/4/2022
9/4/2023, 16/4/2023
31/3/2024, 5/5/2024
20/4/2025, 20/4/2025
5/4/2026, 12/4/2026
28/3/2027, 2/5/2027
16/4/2028, 16/4/2028
1/4/2029, 8/4/2029
21/4/2030, 28/4/2030
13/4/2031, 13/4/2031
28/3/2032, 2/5/2032
17/4/2033, 24/4/2033
9/4/2034, 9/4/2034
25/3/2035, 29/4/2035
13/4/2036, 20/4/2036
5/4/2037, 5/4/2037
25/4/2038, 25/4/2038
10/4/2039, 17/4/2039
1/4/2040, 6/5/2040
21/4/2041, 21/4/2041
6/4/2042, 13/4/2042
29/3/2043, 3/5/2043
17/4/2044, 24/4/2044
9/4/2045, 9/4/2045
25/3/2046, 29/4/2046
14/4/2047, 21/4/2047
5/4/2048, 5/4/2048
18/4/2049, 25/4/2049
10/4/2050, 17/4/2050
2/4/2051, 7/5/2051
21/4/2052, 21/4/2052
6/4/2053, 13/4/2053
29/3/2054, 3/5/2054
18/4/2055, 18/4/2055
2/4/2056, 9/4/2056
22/4/2057, 29/4/2057
14/4/2058, 14/4/2058
30/3/2059, 4/5/2059
18/4/2060, 25/4/2060
10/4/2061, 10/4/2061
26/3/2062, 30/4/2062
15/4/2063, 22/4/2063
6/4/2064, 13/4/2064
29/3/2065, 26/4/2065
11/4/2066, 18/4/2066
3/4/2067, 10/4/2067
22/4/2068, 29/4/2068
14/4/2069, 14/4/2069
30/3/2070, 4/5/2070
19/4/2071, 19/4/2071
10/4/2072, 10/4/2072
26/3/2073, 30/4/2073
15/4/2074, 22/4/2074
7/4/2075, 7/4/2075
19/4/2076, 26/4/2076
11/4/2077, 18/4/2077
3/4/2078, 8/5/2078
23/4/2079, 23/4/2079
7/4/2080, 14/4/2080
30/3/2081, 4/5/2081
19/4/2082, 19/4/2082
4/4/2083, 11/4/2083
26/3/2084, 30/4/2084
15/4/2085, 15/4/2085
31/3/2086, 7/4/2086
20/4/2087, 27/4/2087
11/4/2088, 18/4/2088
3/4/2089, 1/5/2089
16/4/2090, 23/4/2090
8/4/2091, 8/4/2091
30/3/2092, 27/4/2092
12/4/2093, 19/4/2093
4/4/2094, 11/4/2094
24/4/2095, 24/4/2095
15/4/2096, 15/4/2096
31/3/2097, 5/5/2097
20/4/2098, 27/4/2098
12/4/2099, 12/4/2099
